"0
",59
"10011
",2
"10012
",1
"10029
",1
"10082
",1
"1010
",1
"10148
",1
"10179
",1
"1020
",4
"1023
",1
"10266
",1
"10280
",1
"10295
",1
"1036
",1
"104
",108
"1041
",4
"1042
",1
"10487
",1
"10488
",1
"10489
",1
"1049
",2
"1050
",12
"10513
",1
"10572
",1
"10620
",4
"1064
",8
"1065
",1
"1066
",1
"1073
",2
"10737
",1
"10745
",4
"1075
",1
"10765
",1
"10771
",1
"1079
",4
"10807
",1
"10835
",1
"10885
",1
"10954
",4
"10986
",1
"110
",6
"11010
",1
"11022
",9
"1103
",1
"1107
",4
"111
",1
"1110
",5
"11105
",1
"1119
",1
"11199
",1
"112
",4
"1121
",1
"1122
",1
"11248
",1
"1127
",4
"11332
",1
"11368
",1
"11370
",1
"11402
",1
"11434
",1
"1149
",1
"115
",1
"1151
",2
"1153
",1
"11531
",4
"11552
",1
"11557
",1
"116
",13
"11618
",1
"1163
",1
"117
",8
"11735
",1
"1176
",1
"11766
",1
"1177
",1
"118
",10
"11814
",4
"1183
",1
"11836
",1
"11841
",1
"11883
",1
"11895
",4
"119
",6
"11901
",1
"11971
",1
"120
",5
"12017
",4
"12040
",1
"1206
",2
"121
",8
"12101
",1
"1213
",4
"12175
",1
"12182
",1
"12211
",4
"1227
",4
"123
",1
"1233
",1
"12358
",1
"12497
",1
"12508
",1
"1254
",7
"12541
",4
"12563
",1
"12597
",1
"12627
",1
"12659
",1
"12693
",1
"127
",2
"1270
",2
"12802
",1
"12821
",2
"1285
",1
"1286
",1
"12871
",1
"129
",1
"12921
",1
"12950
",1
"1297
",4
"130
",1
"1303
",1
"1304
",4
"1305
",1
"13064
",1
"1307
",5
"13083
",1
"1309
",4
"131
",4
"1311
",10
"13196
",4
"1321
",1
"13235
",1
"133
",1
"1332
",1
"13346
",1
"134
",6
"13430
",1
"1345
",3
"13462
",1
"13493
",1
"1354
",1
"1357
",2
"1358
",1
"136
",4
"13603
",1
"13660
",4
"13689
",1
"13692
",1
"13699
",1
"13728
",1
"1373
",1
"1383
",1
"1384
",1
"1388
",4
"13908
",8
"13918
",4
"140
",1
"14006
",1
"1402
",6
"14085
",4
"14208
",4
"1422
",6
"144
",1
"1442
",4
"14449
",1
"1448
",4
"14480
",1
"145
",1
"14516
",4
"1456
",2
"1461
",1
"14614
",1
"14677
",4
"1468
",1
"1474
",2
"1478
",1
"14784
",31
"1480
",1
"14805
",1
"14837
",1
"14860
",1
"1494
",1
"14947
",1
"14951
",1
"1497
",4
"1501
",2
"15022
",1
"1505
",4
"15059
",1
"15086
",1
"1511
",1
"15156
",1
"152
",2
"15234
",3
"15286
",16
"1529
",1
"15314
",1
"15358
",4
"15373
",1
"154
",5
"15406
",4
"15418
",4
"1543
",4
"15494
",1
"1556
",1
"1561
",1
"15613
",4
"15616
",1
"15680
",1
"157
",7
"15734
",1
"1582
",1
"15848
",1
"15849
",1
"1585
",1
"15853
",1
"15855
",1
"15865
",1
"1594
",2
"15996
",4
"16
",9
"16017
",1
"1605
",8
"16074
",1
"1608
",1
"1617
",6
"16225
",4
"16243
",1
"16258
",1
"1626
",4
"1628
",1
"163
",4
"1630
",1
"1633
",3
"1634
",1
"16375
",1
"16471
",1
"165
",1
"16548
",1
"166
",1
"1660
",1
"16600
",1
"16621
",1
"16634
",4
"16653
",1
"167
",1
"16858
",1
"16887
",1
"16906
",4
"16910
",4
"16927
",1
"1694
",6
"1696
",1
"16972
",1
"170
",1
"1700
",1
"17000
",1
"171
",3
"1714
",1
"17141
",1
"1722
",7
"17272
",4
"17282
",4
"1738
",1
"17382
",1
"17386
",1
"17401
",1
"17420
",1
"17426
",1
"1745
",9
"1748
",2
"1750
",4
"17604
",1
"17606
",1
"17717
",1
"1778
",1
"17820
",1
"179
",1
"17906
",1
"17908
",1
"17950
",4
"18157
",2
"1817
",1
"1819
",1
"1824
",1
"18384
",1
"1858
",1
"18644
",1
"18651
",1
"1868
",1
"18684
",4
"1869
",14
"187
",1
"18711
",1
"18742
",1
"188
",1
"190
",1
"1912
",4
"19126
",4
"19157
",1
"1919
",4
"19198
",1
"1920
",19
"19245
",4
"1927
",13
"19342
",1
"19406
",1
"195
",10
"19515
",1
"19557
",1
"19596
",4
"196
",4
"1965
",2
"1967
",4
"197
",5
"19704
",1
"19722
",4
"19748
",1
"19790
",1
"19814
",1
"19816
",5
"1984
",2
"199
",5
"19915
",1
"19971
",1
"20012
",4
"201
",1
"20100
",1
"20268
",2
"20315
",1
"20345
",1
"20368
",1
"20388
",1
"2039
",4
"20429
",1
"20592
",1
"206
",12
